Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round
972,1859,1271,89,35,9999,0,1326,0,4073,5400,4,4,825,525,2000,1,1,73,72,45,0,72,0,258,4,1440,1584,4464,1294,0,44,47,39,45,47,19,36,44,19,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,100,4.073,1.326,5.400798000000001,5.4
1972,1859,1271,89,35,9999,0,1345,0,4073,5478,4,4,710,525,1555,1,1,73,72,51,0,72,0,165,4,1440,1584,4693,1290,0,47,30,31,15,28,40,47,36,19,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,100,4.073,1.345,5.478185000000001,5.48
2972,1859,1271,89,35,9999,0,1332,0,4073,5425,4,4,1382,525,1555,1,1,73,72,51,0,73,0,94,4,1440,1584,4312,1286,0,45,26,12,21,16,45,44,31,22,42,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,100,4.073,1.332,5.425236000000001,5.43
3973,1859,1271,89,35,9999,0,1336,0,4073,5441,4,4,710,525,1555,1,1,73,72,51,0,73,0,82,4,1440,1584,4597,1290,0,50,30,17,25,26,40,38,50,11,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,100,4.073,1.336,5.441528000000001,5.44
4973,1859,1271,89,35,9999,0,1331,0,4083,5434,4,4,710,525,1804,1,1,73,72,50,0,73,0,82,4,1440,1584,4598,1300,0,42,30,30,25,31,40,42,33,27,44,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,4.083,1.331,5.434473,5.43
5973,1859,1271,89,35,9999,0,1367,0,4083,5581,4,4,710,525,2000,1,1,72,72,51,0,72,0,339,4,1440,1584,4196,1296,0,47,17,28,21,25,47,23,47,25,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.083,1.367,5.581461,5.58
6975,1859,1271,89,35,9999,0,1351,0,4083,5516,4,4,710,525,2000,1,1,73,72,50,0,72,0,126,4,1440,1584,4732,1293,0,44,39,27,27,21,44,39,42,15,44,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.083,1.351,5.516133,5.52
7973,1859,1271,89,35,9999,0,1328,0,4083,5422,4,4,710,525,2000,1,1,72,72,50,0,73,0,167,4,1440,1584,4459,1289,0,47,21,33,25,26,38,39,47,15,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.083,1.328,5.422224000000001,5.42
8973,1859,1271,89,35,9999,0,1337,0,4083,5458,4,4,825,525,1555,1,1,73,72,50,0,73,0,71,4,1440,1584,4463,1293,0,44,17,30,16,23,42,27,44,15,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.083,1.337,5.458971,5.46
9973,1859,1271,89,35,9999,0,1375,0,4082,5612,4,4,1382,525,1804,1,1,73,72,50,0,73,0,27,4,1440,1584,4531,1305,0,52,33,45,39,31,27,40,52,25,43,0,0,51286,1393,0,1087,168,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.082,1.375,5.61275,5.61
