Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round
973,2045,1277,97,28,9999,0,1367,0,4206,5749,4,3,1478,490,2000,0,0,79,90,32,0,23,16,0,0,1440,1584,1428,717,0,95,23,35,44,41,89,95,84,22,23,0,0,13281,1386,0,1184,78,1263,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.206,1.367,5.749602,5.75
1973,2045,1277,97,28,9999,0,1430,0,4206,6014,4,3,1478,490,2000,0,0,90,90,45,0,162,1,0,0,1440,1584,1773,755,0,100,23,39,52,33,100,100,100,69,9,0,0,13281,1386,0,1184,78,1263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,100,4.206,1.43,6.0145800000000005,6.01
2974,2045,1277,97,28,9999,0,1389,0,4206,5842,4,3,1478,490,2000,0,0,52,90,38,0,51,39,0,0,1440,1584,1307,742,0,100,68,62,55,55,94,94,100,80,21,0,0,13281,1386,0,1184,78,1263,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,100,4.206,1.389,5.842134000000001,5.84
3975,2045,1277,97,28,9999,0,1500,0,4206,6498,4,3,1478,490,2000,0,0,81,90,39,0,106,11,0,0,1440,1584,1504,772,0,100,52,50,52,64,89,100,89,60,23,0,0,13281,1386,0,1184,78,1263,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.206,1.5,6.309000000000001,6.31
4974,2045,1277,97,28,9999,0,1218,0,4206,5122,4,3,1478,490,2000,0,0,88,90,40,0,118,2,0,0,1440,1584,1787,752,0,100,50,41,44,37,85,78,100,89,22,0,0,13281,1386,0,1184,78,1263,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,100,4.206,1.218,5.122908000000001,5.12
5973,2045,1277,97,28,9999,0,1017,0,4206,4277,4,3,1478,490,2000,0,0,54,90,30,1,14,39,0,0,1440,1584,2123,757,0,100,23,23,6,26,25,30,100,33,29,0,0,13281,1386,0,1184,78,1263,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.206,1.017,4.277502,4.28
6973,2045,1277,97,28,9999,0,1063,0,4206,4470,4,3,1478,490,2000,0,0,84,90,43,0,146,8,0,0,1440,1584,3232,668,0,63,18,26,12,27,10,63,0,47,6,0,0,13281,1386,0,1184,78,1263,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.206,1.063,4.470978000000001,4.47
7974,2045,1277,97,28,9999,0,1032,0,4206,4340,4,3,1478,490,2000,0,0,84,90,43,0,146,8,0,0,1440,1584,3232,668,0,63,18,26,12,27,10,63,0,47,6,0,0,13281,1386,0,1184,78,1263,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.206,1.032,4.340592000000001,4.34
8974,2045,1277,97,28,9999,0,1043,0,4203,4383,4,3,1478,490,2000,0,0,7,90,46,0,6,85,0,0,1440,1584,13983,665,0,95,27,30,35,22,10,10,95,31,6,0,0,13281,1386,0,1184,78,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.203,1.043,4.383729,4.38
9974,2045,1277,97,28,9999,0,1105,0,4203,4644,4,3,1478,490,2000,0,0,1,90,69,0,2,89,0,0,1440,1584,0,665,0,59,23,18,29,23,15,59,0,16,11,0,0,13281,1386,0,1184,78,1263,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.203,1.105,4.644315000000001,4.64
10974,2045,1277,97,28,9999,0,1385,0,4203,5821,4,3,1478,490,451,0,0,7,90,63,0,8,87,0,0,1440,1584,0,919,0,100,47,25,29,47,94,100,94,26,19,0,0,13281,1386,0,1184,78,1263,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.203,1.385,5.821155,5.82
11974,2045,1277,97,28,9999,0,1451,0,4203,6098,4,3,1478,490,1353,0,0,17,90,41,0,15,73,0,0,1440,1584,1495,918,0,100,13,8,23,6,100,100,100,26,20,0,0,13281,1386,0,1184,78,1263,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.203,1.451,6.098553000000001,6.1
12974,2045,1277,97,28,9999,0,1262,0,4203,5304,4,3,1478,490,1353,0,0,33,90,43,0,38,44,0,0,1440,1584,2549,893,0,80,13,6,27,18,41,75,80,26,47,0,0,13281,1386,0,1184,78,1263,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.203,1.262,5.3041860000000005,5.3
13975,2045,1277,97,28,9999,0,1377,0,4203,5787,4,4,1478,490,2000,0,0,86,90,44,0,73,14,0,0,1440,1584,5647,899,0,59,33,23,30,36,25,6,59,33,60,0,0,13281,1386,0,1184,78,1263,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.203,1.377,5.787531,5.79
14974,2045,1277,97,28,9999,0,1346,0,4203,5657,4,3,1478,525,2000,0,0,78,90,46,0,78,2,0,0,1440,1584,5914,910,0,50,18,38,22,14,22,21,50,25,63,0,0,13281,1386,0,1184,78,1263,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.203,1.346,5.657238,5.66
15975,2045,1277,97,28,9999,0,1375,0,4203,5779,4,3,1478,490,2000,0,0,88,90,44,0,85,3,0,0,1440,1584,5852,913,0,60,27,27,18,22,26,27,60,28,62,0,0,13281,1386,0,1184,78,1263,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.203,1.375,5.7791250000000005,5.78
16975,2045,1277,97,28,9999,0,1293,0,4203,5434,4,3,1478,490,2000,0,0,90,90,45,0,88,0,0,0,1440,1584,6102,954,0,47,31,33,44,37,28,26,47,22,63,0,0,13281,1386,0,1184,78,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.203,1.293,5.4344790000000005,5.43
17975,2045,1277,97,28,9999,0,1302,0,4203,5472,4,3,1478,490,2000,0,0,90,90,42,0,30,0,0,0,1440,1584,6038,964,0,52,27,22,23,30,33,30,52,25,64,0,0,13281,1386,0,1184,78,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.203,1.302,5.472306000000001,5.47
18974,2045,1277,97,28,9999,0,1320,0,4180,5517,4,3,1478,490,2000,0,0,90,90,36,0,0,0,0,0,1440,1584,5945,939,0,47,7,26,27,12,33,16,47,25,63,0,0,13281,1386,0,1184,78,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.18,1.32,5.5176,5.52
20043,268,3149,97,28,9999,0,1354,0,4180,5659,4,3,1478,490,2000,0,0,90,90,35,0,0,0,0,0,1440,1584,6048,937,0,42,6,35,23,33,21,33,42,30,63,0,0,15523,3227,0,3070,66,3136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.18,1.354,5.65972,5.66
20976,268,3149,97,28,9999,0,1313,0,4180,5488,4,3,1478,490,2000,0,0,90,90,34,0,0,2,0,0,1440,1584,6069,942,0,50,13,18,25,38,25,33,50,33,64,0,0,15523,3227,0,3070,66,3136,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.18,1.313,5.488339999999999,5.49
