Energy_consumed,Run_no,Application_name,Domain_name
9784.502495840265,1,Basketball,Gaming
10546.38202247191,2,Basketball,Gaming
10018.16110761485,3,Basketball,Gaming
9582.177449168208,1,Blaston,Gaming
10709.07195467422,2,Blaston,Gaming
10872.260171306209,3,Blaston,Gaming
9759.216767788195,1,Gorilla Tag,Gaming
9831.95243362832,2,Gorilla Tag,Gaming
10761.042925278218,3,Gorilla Tag,Gaming
10080.565161290322,1,Innerworld,Education
10118.25855513308,2,Innerworld,Education
9698.31467473525,3,Innerworld,Education
9706.073800738008,1,Rec room,Entertainment
9740.21368948247,2,Rec room,Entertainment
9743.483510340971,3,Rec room,Entertainment
10143.560291643298,1,ShapesXR,Education
10843.023411371238,2,ShapesXR,Education
10029.058692006707,3,ShapesXR,Education
10340.75,1,Ultimechs,Entertainment
10250.227424749164,2,Ultimechs,Entertainment
9652.462395543174,3,Ultimechs,Entertainment
8316.357400722023,1,VR Animation Player,Entertainment
7765.507058823529,2,VR Animation Player,Entertainment
8496.185905224787,3,VR Animation Player,Entertainment
9544.632678132675,1,Zoe,Education
10920.298863021117,2,Zoe,Education
10268.66776859504,3,Zoe,Education
