Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round
985,2598,471,40,41,9999,0,993,0,3686,3660,4,3,710,490,2000,0,0,72,72,33,0,0,0,0,0,1440,1584,934,664,0,23,27,27,27,26,18,0,23,19,13,0,0,11576,561,0,398,66,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,100,3.686,0.993,3.660198,3.66
1985,2598,471,40,41,9999,0,1055,0,3686,3888,4,3,710,490,1353,0,0,72,72,32,0,0,0,0,0,1440,1584,950,664,0,22,17,36,31,39,19,22,22,22,13,0,0,11576,561,0,398,66,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,3.686,1.055,3.88873,3.89
2984,2598,471,40,41,9999,0,960,0,3686,3538,4,3,710,490,1353,0,0,72,72,32,0,0,0,0,0,1440,1584,950,664,0,22,17,36,31,39,19,22,22,22,13,0,0,11576,561,0,398,66,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,3.686,0.96,3.53856,3.54
3984,2598,471,40,41,9999,0,1500,0,3686,6185,4,3,1056,490,768,0,0,4,72,43,0,0,49,0,3,1440,1584,11643,655,0,61,64,61,75,66,47,44,61,36,20,0,0,11576,561,0,398,66,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,3.686,1.5,5.529,5.53
4984,2598,471,40,41,9999,0,1270,0,3686,4681,4,3,710,490,1017,0,0,70,72,44,0,20,23,0,3,1440,1584,0,845,0,37,33,25,26,25,36,37,26,19,36,0,0,11576,561,0,398,66,465,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.686,1.27,4.68122,4.68
5984,2598,471,40,41,9999,0,1500,0,3686,6144,4,4,1382,490,2000,0,0,58,72,49,0,2,17,0,3,1440,1584,10634,849,0,50,30,35,25,30,50,31,39,27,81,0,0,11576,561,0,398,66,465,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.686,1.5,5.529,5.53
6984,2598,471,40,41,9999,0,1500,0,3686,6461,4,4,2419,525,1555,0,0,71,72,59,0,61,3,0,3,1440,1584,10188,866,0,42,31,22,17,33,42,23,28,34,74,0,0,11576,561,0,398,66,465,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.686,1.5,5.529,5.53
7985,2598,471,39,41,9999,0,1500,0,3665,6300,4,4,1478,525,1555,0,0,72,72,60,0,70,2,0,3,1440,1584,9485,856,0,39,41,50,42,47,39,30,30,28,75,0,0,11576,561,0,398,66,465,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.665,1.5,5.4975000000000005,5.5
8985,2598,471,39,41,9999,0,1500,0,3665,6219,4,4,1478,525,2000,0,0,70,72,50,0,39,0,0,3,1440,1584,9543,866,0,42,31,30,26,25,10,39,42,31,56,0,0,11576,561,0,398,66,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.665,1.5,5.4975000000000005,5.5
9985,2598,471,39,41,9999,0,1500,0,3665,6611,4,4,1478,525,2000,0,0,72,72,47,0,0,6,0,3,1440,1584,9820,871,0,36,38,31,22,22,27,19,36,23,78,0,0,11576,561,0,398,66,465,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.665,1.5,5.4975000000000005,5.5
