Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round
972,2234,1108,51,35,9999,0,1384,0,3700,5120,2,2,710,525,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,52,31,27,36,29,23,52,52,34,13,0,0,13418,1203,0,934,158,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,3.7,1.384,5.1208,5.12
1972,2234,1108,51,35,9999,0,1381,0,3700,5109,2,2,710,525,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,52,31,27,36,29,23,52,52,34,13,0,0,13418,1203,0,934,158,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,3.7,1.381,5.1097,5.11
2972,2234,1108,51,35,9999,0,1359,0,3700,5028,4,3,2419,490,2000,0,0,1,72,0,0,0,35,0,0,0,0,65535,1254,0,68,39,39,23,42,40,10,68,15,9,0,0,13418,1203,0,934,158,1093,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,3.7,1.359,5.0283,5.03
3973,2234,1108,51,35,9999,0,1333,0,3700,4932,4,3,2419,490,2000,0,0,4,72,21,0,0,72,0,0,1440,1584,18619,1332,0,42,44,42,54,52,21,36,42,11,18,0,0,13418,1203,0,934,158,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,100,3.7,1.333,4.9321,4.93
4973,2234,1108,51,35,9999,0,1317,0,3722,4901,4,3,2419,490,2000,0,0,35,72,55,0,41,40,0,0,1440,1584,10331,1354,0,45,47,45,47,50,10,40,45,5,28,0,0,13418,1203,0,934,158,1093,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,100,3.722,1.317,4.901873999999999,4.9
5973,2234,1108,50,35,9999,0,1406,0,3722,5233,4,3,2419,490,2000,0,0,48,72,52,0,51,26,0,0,1440,1584,5250,1347,0,47,39,19,21,23,39,35,47,23,54,0,0,13418,1203,0,934,158,1093,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,100,3.722,1.406,5.2331319999999995,5.23
6973,2234,1108,50,35,9999,0,1274,0,3722,4741,4,3,2419,490,2000,0,0,71,72,52,0,57,0,0,0,1440,1584,6994,1359,0,38,16,30,28,26,23,30,38,11,46,0,0,13418,1203,0,934,158,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,100,3.722,1.274,4.741828,4.74
7973,2234,1108,50,35,9999,0,1395,0,3722,5192,4,3,1478,490,2000,0,0,53,72,46,0,27,24,0,0,1440,1584,29871,1338,0,55,26,30,30,30,55,36,42,21,19,0,0,13418,1203,0,934,158,1093,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,100,3.722,1.395,5.19219,5.19
8973,2234,1108,50,35,9999,0,1432,0,3722,5329,4,4,1478,490,2000,0,0,35,72,57,0,37,52,0,0,1440,1584,4167,1291,0,83,35,26,26,21,72,57,83,25,48,0,0,13418,1203,0,934,158,1093,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,100,3.722,1.432,5.329904,5.33
9973,2234,1108,50,35,9999,0,1472,0,3722,5478,4,3,1478,525,2000,0,0,35,72,53,0,38,39,0,0,1440,1584,4892,1347,0,100,44,44,44,55,100,100,94,23,26,0,0,13418,1203,0,934,158,1093,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,100,3.722,1.472,5.478784,5.48
