Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round
980,2648,489,0,0,0,0,1079,0,3876,4182,4,4,710,525,1353,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,18,55,52,57,57,5,18,9,25,9,0,0,12145,579,0,392,88,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.876,1.079,4.182204,4.18
1979,2648,489,70,31,9999,0,970,0,3876,3759,2,2,1171,441,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,47,34,21,19,30,14,47,42,23,5,0,0,12145,579,0,392,88,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.876,0.97,3.7597199999999997,3.76
2979,2648,489,70,31,9999,0,970,0,3876,3759,4,3,1478,490,2000,0,0,1,72,0,0,0,73,0,0,0,0,0,1318,0,22,50,54,55,68,19,22,22,39,21,0,0,12145,579,0,392,88,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.876,0.97,3.7597199999999997,3.76
3980,2648,489,70,31,9999,0,1159,0,3876,4492,4,3,1478,490,1353,0,0,68,72,34,0,0,1,0,0,2016,2224,1450,790,0,14,63,47,52,55,9,14,5,27,20,0,0,12145,579,0,392,88,481,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,140,3.876,1.159,4.492284,4.49
4980,2648,489,70,31,9999,0,1083,0,3876,4197,4,3,1478,490,1353,0,0,68,72,35,0,0,1,0,0,2016,2224,1450,790,0,14,63,47,52,55,9,14,5,27,20,0,0,12145,579,0,392,88,481,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,140,3.876,1.083,4.1977079999999996,4.2
5980,2648,489,70,31,9999,0,1353,0,3876,5244,4,3,1478,490,1353,0,0,68,72,34,0,0,1,0,0,2016,2224,1450,790,0,14,63,47,52,55,9,14,5,27,20,0,0,12145,579,0,392,88,481,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,140,3.876,1.353,5.244228,5.24
6980,2648,489,70,31,9999,0,1500,0,3876,6069,4,3,1478,490,2000,0,0,68,72,34,0,0,1,0,2,2016,2224,1639,786,0,80,100,100,94,100,73,68,80,31,6,0,0,12145,579,0,392,88,481,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,140,3.876,1.5,5.814,5.81
7981,2648,489,70,31,9999,0,1438,0,3876,5573,4,3,1478,490,2000,0,0,49,72,34,0,0,73,0,2,2016,2224,65535,802,0,86,100,95,100,95,77,86,77,85,13,0,0,12145,579,0,392,88,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,3.876,1.438,5.573688,5.57
8981,2648,489,70,31,9999,0,1318,0,3876,5108,4,3,1478,490,2000,0,0,61,72,49,0,59,29,0,2,1440,1584,2722,878,0,36,25,27,31,27,19,36,16,31,27,0,0,12145,579,0,392,88,481,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.876,1.318,5.108568,5.11
9980,2648,489,70,31,9999,0,1287,0,3852,4957,4,3,1478,490,2000,0,0,52,72,54,0,101,21,0,2,1440,1584,2514,901,0,44,47,44,42,57,31,30,44,17,27,0,0,12145,579,0,392,88,481,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.852,1.287,4.957523999999999,4.96
