Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round
824,2911,350,0,0,0,0,1100,0,4004,4404,4,3,710,490,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,21,60,66,63,68,0,14,21,28,22,0,0,12225,431,0,265,70,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,4.004,1.1,4.4044,4.4
1824,2911,350,84,39,9999,0,1358,0,4004,5437,2,2,1382,441,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,75,84,80,85,80,42,50,75,30,12,0,0,12225,431,0,265,70,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.004,1.358,5.437431999999999,5.44
2824,2911,350,84,39,9999,0,1127,0,4004,4512,4,3,1382,441,2000,0,0,1,72,0,0,0,44,0,0,0,0,0,1526,0,36,53,61,70,75,36,33,35,31,20,0,0,12225,431,0,265,70,335,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.004,1.127,4.5125079999999995,4.51
3824,2911,350,84,39,9999,0,992,0,4004,3971,4,3,710,490,1353,0,0,68,72,35,0,8,1,0,0,1440,1584,985,1227,291,33,57,55,61,57,31,25,33,14,21,0,0,12225,431,0,265,70,335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,291,100,4.004,0.992,3.9719679999999995,3.97
4825,2911,350,84,39,9999,0,986,0,4004,3947,4,3,710,490,1353,0,0,72,72,37,0,9,0,0,0,1440,1584,1085,1230,286,38,57,59,57,60,27,26,38,19,21,0,0,12225,431,0,265,70,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,286,100,4.004,0.986,3.9479439999999997,3.95
5824,2911,350,84,39,9999,0,996,0,4004,3987,4,3,710,490,1353,0,0,72,72,35,0,1,0,0,0,1440,1584,1102,1233,286,31,52,54,60,47,30,31,31,23,21,0,0,12225,431,0,265,70,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,286,100,4.004,0.996,3.9879839999999995,3.99
6824,2911,350,84,39,9999,0,1005,0,4029,4049,4,3,710,490,1353,0,0,72,72,30,0,0,0,0,0,1440,1584,1094,1231,285,31,50,54,56,60,26,16,31,15,21,0,0,12225,431,0,265,70,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,285,100,4.029,1.005,4.049144999999999,4.05
7825,2911,350,84,39,9999,0,990,0,4029,3988,4,3,710,490,1353,0,0,71,72,30,0,0,2,0,0,1440,1584,1068,1228,324,31,39,47,51,36,26,26,31,22,21,0,0,12225,431,0,265,70,335,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,100,4.029,0.99,3.9887099999999998,3.99
8825,2911,350,84,39,9999,0,1108,0,4029,4464,4,3,710,490,1353,0,0,72,72,29,0,0,0,0,0,1440,1584,1095,1233,292,33,50,47,40,40,33,25,30,19,21,0,0,12225,431,0,265,70,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,100,4.029,1.108,4.464132,4.46
9824,2911,350,84,39,9999,0,1306,0,4029,5261,4,3,710,490,1353,0,0,72,72,29,0,0,0,0,0,1440,1584,1160,1232,288,36,36,50,42,35,11,30,36,19,21,0,0,12225,431,0,265,70,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,100,4.029,1.306,5.261874,5.26
