Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round
975,2367,603,99,25,9999,0,1237,0,4232,5234,4,3,1958,441,2000,0,0,1,72,0,0,0,72,0,0,0,0,0,2683,296,39,39,35,19,31,35,35,39,19,48,0,0,11591,685,0,524,68,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,296,0,4.232,1.237,5.234984000000001,5.23
1976,2367,603,99,25,9999,0,1391,0,4232,5886,4,3,2419,490,1353,0,0,69,72,39,2,8,21,0,0,1440,1584,4222,1348,296,56,12,22,31,25,39,45,56,34,45,0,0,11591,685,0,524,68,592,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,296,100,4.232,1.391,5.886712,5.89
2976,2367,603,99,25,9999,0,1500,0,4232,7500,4,3,2419,490,2000,0,0,72,72,58,0,107,2,0,0,1440,1584,4288,1429,303,63,38,25,33,30,63,52,57,61,45,0,0,11591,685,0,524,68,592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,303,100,4.232,1.5,6.348000000000001,6.35
3976,2367,603,99,25,9999,0,1102,0,4232,4663,4,3,1670,490,2000,0,0,71,72,55,0,137,2,0,0,1440,1584,4280,1375,298,36,31,16,33,19,36,35,31,31,45,0,0,11591,685,0,524,68,592,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,298,100,4.232,1.102,4.663664000000001,4.66
4977,2367,603,99,25,9999,0,1210,0,4232,5120,4,3,710,490,1353,0,0,72,72,55,0,144,0,0,0,1440,1584,4244,1361,302,39,35,38,36,42,39,31,36,30,44,0,0,11591,685,0,524,68,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,302,100,4.232,1.21,5.12072,5.12
5977,2367,603,99,25,9999,0,1183,0,4232,5006,4,3,825,490,1555,0,0,71,72,37,0,37,0,0,0,1440,1584,4293,1355,299,30,40,44,22,36,21,25,30,15,44,0,0,11591,685,0,524,68,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,299,100,4.232,1.183,5.006456000000001,5.01
6977,2367,603,99,25,9999,0,1083,0,4232,4583,4,3,710,490,1555,0,0,72,72,34,0,0,0,0,0,1440,1584,4301,1353,295,33,28,30,25,36,15,23,33,14,45,0,0,11591,685,0,524,68,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,100,4.232,1.083,4.583256,4.58
7977,2367,603,99,25,9999,0,1085,0,4232,4591,4,3,710,490,1555,0,0,72,72,34,0,0,0,0,0,1440,1584,4272,1367,293,28,26,30,25,25,19,26,28,27,45,0,0,11591,685,0,524,68,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,100,4.232,1.085,4.5917200000000005,4.59
8977,2367,603,99,26,9999,0,1166,0,4247,4952,4,3,710,490,1555,0,0,72,72,32,0,0,0,0,0,1440,1584,4284,1363,299,35,27,33,39,35,25,35,33,27,45,0,0,11591,685,0,524,68,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,100,4.247,1.166,4.952001999999999,4.95
9977,2367,603,99,26,9999,0,1084,0,4247,4603,4,3,710,490,1555,0,0,72,72,32,0,0,0,0,0,1440,1584,4264,1366,295,39,33,41,27,35,19,28,39,19,45,0,0,11591,685,0,524,68,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,100,4.247,1.084,4.603748,4.6
