Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round,EC
981,2809,491,68,39,9999,0,896,0,3921,3513,2,2,710,441,1017,1,1,73,72,43,0,62,11,116,0,1440,1584,9,738,0,16,19,26,16,5,10,14,16,26,5,0,0,44840,591,0,380,102,482,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,3.921,0.896,3.513216,3.51,3.98
1981,2809,491,68,39,9999,0,950,0,3921,3724,4,4,710,441,1353,1,1,39,72,45,0,40,31,86,0,1440,1584,745,635,0,27,11,25,19,28,10,27,18,19,13,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,3.921,0.95,3.7249499999999998,3.72,4.22
2981,2809,491,68,39,9999,0,956,0,3921,3748,4,4,710,525,1353,1,1,72,72,44,0,70,3,73,0,1440,1584,1199,826,0,33,18,33,11,28,11,33,28,11,15,0,0,44840,591,0,380,102,482,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,3.921,0.956,3.7484759999999997,3.75,4.25
3981,2809,491,68,39,9999,0,940,0,3939,3702,4,4,710,525,1353,1,1,72,72,45,0,72,0,39,0,1440,1584,571,621,0,40,26,36,25,30,37,40,19,11,11,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,3.939,0.94,3.70266,3.7,4.19
4981,2809,491,68,39,9999,0,891,0,3939,3509,4,4,710,525,1353,1,1,72,72,45,0,72,0,98,0,1440,1584,1001,818,0,30,38,26,17,33,30,10,27,14,15,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.939,0.891,3.509649,3.51,3.98
5981,2809,491,68,39,9999,0,953,0,3939,3753,4,4,710,525,1353,1,1,72,72,44,0,72,0,147,0,1440,1584,1649,697,0,47,17,27,16,11,15,27,47,19,12,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.939,0.953,3.753867,3.75,4.25
6982,2809,491,68,39,9999,0,929,0,3939,3659,4,4,710,525,1017,1,1,61,72,44,0,62,12,168,0,1440,1584,1809,613,0,27,16,11,22,19,22,19,27,14,19,0,0,44840,591,0,380,102,482,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.939,0.929,3.6593310000000003,3.66,4.15
7982,2809,491,68,39,9999,0,946,0,3939,3726,4,4,710,525,1353,1,1,72,72,44,0,72,0,128,0,1440,1584,1978,819,0,23,16,28,21,19,19,21,23,22,19,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.939,0.946,3.7262939999999998,3.73,4.22
8982,2809,491,68,39,9999,0,1013,0,3939,3990,4,4,710,525,1353,1,1,68,72,45,0,68,5,75,0,1440,1584,1298,648,0,25,54,40,35,29,10,22,25,10,16,0,0,44840,591,0,380,102,482,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.939,1.013,3.990207,3.99,4.52
9982,2809,491,68,39,9999,0,1010,0,3939,3978,4,4,710,525,1353,1,1,72,72,45,0,72,0,22,0,1440,1584,1396,648,0,31,21,16,25,16,11,31,19,22,16,0,0,44840,591,0,380,102,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.939,1.01,3.97839,3.98,4.51
