Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round,EC
977,2001,1248,99,27,9999,0,1220,0,4231,5161,4,3,2419,490,1804,0,0,59,90,37,1,8,17,0,0,1440,1584,4250,928,0,73,39,36,26,38,19,73,50,28,10,0,0,13095,1357,0,1169,67,1236,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,100,4.231,1.22,5.16182,5.16,4.97
1977,2001,1248,99,27,9999,0,1500,0,4196,6877,4,3,2419,490,1804,0,0,30,90,58,0,68,53,0,0,1440,1584,1,735,0,52,36,35,36,36,47,50,52,33,19,0,0,13095,1357,0,1169,67,1236,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,100,4.196,1.5,6.294,6.29,6.06
2978,2001,1248,99,27,9999,0,1500,0,4196,6415,4,3,2419,490,2000,0,0,89,90,46,0,177,0,0,0,1440,1584,1727,789,0,90,52,60,63,68,57,89,90,27,24,0,0,13095,1357,0,1169,67,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,100,4.196,1.5,6.294,6.29,6.06
3978,2001,1248,99,27,9999,0,1500,0,4196,7452,4,3,2419,490,2000,0,0,66,90,46,0,127,25,0,0,1440,1584,1145,758,0,100,42,47,42,42,100,90,100,66,20,0,0,13095,1357,0,1169,67,1236,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,100,4.196,1.5,6.294,6.29,6.06
4977,2001,1248,99,27,9999,0,1500,0,4196,7500,4,3,2419,490,2000,0,0,89,90,45,0,166,1,0,0,1440,1584,1624,762,0,94,41,47,42,33,90,94,94,39,23,0,0,13095,1357,0,1169,67,1236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.196,1.5,6.294,6.29,6.06
5979,2001,1248,99,27,9999,0,1113,0,4196,4670,4,3,2419,490,2000,0,0,71,90,36,0,38,31,0,0,1440,1584,4827,814,0,61,68,61,71,62,33,23,61,61,17,0,0,13095,1357,0,1169,67,1236,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.196,1.113,4.670147999999999,4.67,4.5
6977,2001,1248,99,27,9999,0,1229,0,4196,5156,4,3,710,490,2000,0,0,60,90,32,2,49,23,0,0,1440,1584,1656,664,0,28,44,52,59,42,26,27,28,26,30,0,0,13095,1357,0,1169,67,1236,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4.196,1.229,5.156884,5.16,4.97
7977,2001,1248,99,27,9999,0,1500,0,4196,6617,4,3,2419,490,2000,0,0,25,90,47,2,49,23,0,0,1440,1584,65535,1224,413,64,47,50,61,52,64,30,30,29,16,0,0,13095,1357,0,1169,67,1236,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,100,4.196,1.5,6.294,6.29,6.06
8979,2001,1248,99,27,9999,0,1406,0,4196,5899,4,3,2419,490,2000,0,0,25,90,47,2,49,23,0,0,1440,1584,65535,1224,413,64,47,50,61,52,64,30,30,29,16,0,0,13095,1357,0,1169,67,1236,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,100,4.196,1.406,5.899576,5.9,5.68
9424,2001,1248,99,27,9999,0,1406,0,4196,5899,4,4,1862,525,2000,0,0,25,90,47,0,9,80,0,0,1440,1584,45956,1232,399,25,79,76,78,94,25,17,22,57,42,0,0,13095,1357,0,1169,67,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,100,4.196,1.406,5.899576,5.9,5.68
