Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round,EC
979,2566,658,0,0,0,0,1396,0,3744,5226,4,3,710,490,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,10,54,50,44,54,10,10,10,11,15,0,0,11171,738,0,582,65,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,3.744,1.396,5.226624,5.23,5.2
1979,2566,658,0,0,0,0,1312,0,3744,4912,4,3,710,490,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,10,54,50,44,54,10,10,10,11,15,0,0,11171,738,0,582,65,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,3.744,1.312,4.912128,4.91,4.89
2983,2566,658,0,0,0,0,1315,0,3744,4923,4,3,710,490,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,10,54,50,44,54,10,10,10,11,15,0,0,11171,738,0,582,65,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.744,1.315,4.92336,4.92,4.9
3980,2566,658,0,0,0,0,1274,0,3744,4769,4,3,710,490,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,10,54,50,44,54,10,10,10,11,15,0,0,11171,738,0,582,65,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,3.744,1.274,4.769856000000001,4.77,4.75
4981,2566,658,0,0,0,0,1249,0,3744,4676,4,3,710,490,1017,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,10,54,50,44,54,10,10,10,11,15,0,0,11171,738,0,582,65,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.744,1.249,4.676256,4.68,4.66
5980,2566,658,55,37,9999,0,1500,0,3754,5878,2,2,2419,441,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,90,25,33,38,36,10,10,90,16,12,0,0,11171,738,0,582,65,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.754,1.5,5.631,5.63,5.61
6980,2566,658,55,37,9999,0,1500,0,3754,7185,2,2,2419,441,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,90,25,33,38,36,10,10,90,16,12,0,0,11171,738,0,582,65,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.754,1.5,5.631,5.63,5.61
7980,2566,658,55,37,9999,0,1500,0,3718,6599,2,2,2419,441,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,90,25,33,38,36,10,10,90,16,12,0,0,11171,738,0,582,65,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.718,1.5,5.577,5.58,5.55
8981,2566,658,55,37,9999,0,1500,0,3718,7145,4,2,2419,441,2000,0,1,2,72,15,0,0,72,32,0,1440,1584,65535,2240,0,100,56,45,47,39,44,50,100,25,21,0,0,11171,738,0,582,65,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.718,1.5,5.577,5.58,5.55
9980,2566,658,55,37,9999,0,1463,0,3718,5439,4,2,1286,441,2000,1,1,70,90,43,2,3,68,66,0,1440,1584,0,1786,0,58,30,26,45,38,40,58,57,25,43,0,0,11171,738,0,582,65,648,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.718,1.463,5.439434,5.44,5.42
