Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round,EC
992,2578,478,67,38,9999,0,1417,0,3876,5492,4,3,2419,490,2000,0,0,72,72,34,0,0,5,0,0,1440,1584,1257,661,0,90,72,64,75,83,57,38,90,28,16,0,0,11542,568,0,399,73,472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,100,3.876,1.417,5.492292,5.49,5.37
1993,2578,478,67,38,9999,0,981,0,3876,3802,4,3,2419,490,2000,0,0,72,72,30,0,0,0,0,0,1440,1584,1085,669,0,42,42,36,38,42,11,19,42,23,16,0,0,11542,568,0,399,73,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.876,0.981,3.8023559999999996,3.8,3.72
2992,2578,478,67,38,9999,0,1093,0,3876,4236,4,3,2419,490,2000,0,0,72,72,30,0,0,0,0,0,1440,1584,1085,669,0,42,42,36,38,42,11,19,42,23,16,0,0,11542,568,0,399,73,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,3.876,1.093,4.2364679999999995,4.24,4.14
3992,2578,478,67,38,9999,0,1500,0,3876,6236,4,3,2419,490,1804,0,0,58,72,29,0,12,62,0,3,1440,1584,4100,893,0,85,64,66,75,64,57,54,85,21,36,0,0,11542,568,0,399,73,472,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,100,3.876,1.5,5.814,5.81,5.68
4992,2578,478,67,38,9999,0,1469,0,3876,5693,4,3,2419,490,1804,0,0,70,72,41,0,59,0,0,3,1440,1584,4670,903,0,89,47,44,50,39,69,72,89,23,40,0,0,11542,568,0,399,73,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.876,1.469,5.693844,5.69,5.57
5992,2578,478,67,38,9999,0,1500,0,3876,7500,4,4,2419,525,2000,0,0,61,72,43,0,21,16,0,3,1440,1584,10186,845,0,95,42,50,31,52,63,55,95,15,85,0,0,11542,568,0,399,73,472,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.876,1.5,5.814,5.81,5.68
6992,2578,478,67,38,9999,0,1500,0,3876,7500,4,4,2419,525,1804,0,0,72,72,52,0,54,1,0,3,1440,1584,9786,853,0,68,54,54,43,50,68,47,68,23,79,0,0,11542,568,0,399,73,472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.876,1.5,5.814,5.81,5.68
7993,2578,478,67,38,9999,0,1500,0,3876,7500,4,4,2419,525,2000,0,0,73,72,53,0,68,0,0,3,1440,1584,9520,859,0,68,50,47,56,54,68,63,47,33,76,0,0,11542,568,0,399,73,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.876,1.5,5.814,5.81,5.68
8992,2578,478,67,38,9999,0,1500,0,3876,7500,4,4,2419,525,2000,0,0,68,72,47,0,22,4,0,3,1440,1584,10032,889,0,76,44,44,43,45,61,44,76,5,80,0,0,11542,568,0,399,73,472,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.876,1.5,5.814,5.81,5.68
9993,2578,478,67,38,9999,0,1500,0,3876,7500,4,4,2419,525,2000,0,0,72,72,43,0,0,0,0,3,1440,1584,10024,892,0,85,39,44,37,36,50,44,85,25,81,0,0,11542,568,0,399,73,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.876,1.5,5.814,5.81,5.68
10993,2578,478,66,39,9999,0,1500,0,3828,7500,4,4,2419,525,2000,0,0,71,72,44,0,3,2,0,3,1440,1584,10855,902,0,85,27,39,23,23,57,50,85,27,85,0,0,11542,568,0,399,73,472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.828,1.5,5.742,5.74,5.61
11993,2578,478,66,39,9999,0,1500,0,3828,7500,4,4,2419,525,2000,0,0,72,72,44,0,0,0,0,3,1440,1584,10497,894,0,100,35,17,31,30,50,50,100,33,83,0,0,11542,568,0,399,73,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.828,1.5,5.742,5.74,5.61
12994,2578,478,66,39,9999,0,1500,0,3828,7500,4,4,2419,525,2000,0,0,72,72,43,0,0,0,0,3,1440,1584,10768,880,0,100,23,18,19,27,42,52,100,28,86,0,0,11542,568,0,399,73,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.828,1.5,5.742,5.74,5.61
13993,2578,478,66,39,9999,0,1500,0,3828,7500,4,4,2419,525,2000,0,0,72,72,43,0,0,0,0,3,1440,1584,11383,888,0,84,29,23,22,29,68,84,42,28,89,0,0,11542,568,0,399,73,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.828,1.5,5.742,5.74,5.61
14993,2578,478,66,39,9999,0,1500,0,3828,7500,4,4,2419,525,2000,0,0,72,72,43,0,0,0,0,3,1440,1584,11095,885,0,90,21,44,35,55,55,39,90,34,87,0,0,11542,568,0,399,73,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.828,1.5,5.742,5.74,5.61
15993,2578,478,66,39,9999,0,1500,0,3828,7500,4,4,2419,525,2000,0,0,72,72,41,0,0,0,0,3,1440,1584,9944,873,0,100,42,33,44,39,42,31,100,36,80,0,0,11542,568,0,399,73,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.828,1.5,5.742,5.74,5.61
16993,2578,478,66,39,9999,0,1500,0,3828,7500,4,4,2419,525,2000,0,0,72,72,39,0,0,0,0,3,1440,1584,10269,844,0,100,38,38,35,13,42,33,100,21,81,0,0,11542,568,0,399,73,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.828,1.5,5.742,5.74,5.61
17993,2578,478,66,39,9999,0,1500,0,3828,7500,4,4,2419,525,2000,0,0,72,72,40,0,0,0,0,3,1440,1584,10205,864,0,100,33,18,27,17,38,43,100,34,82,0,0,11542,568,0,399,73,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.828,1.5,5.742,5.74,5.61
18993,2578,478,66,39,9999,0,1500,0,3828,7500,4,4,2419,525,2000,0,0,72,72,39,0,0,0,0,3,1440,1584,9931,833,0,100,27,27,26,12,35,31,100,19,80,0,0,11542,568,0,399,73,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.828,1.5,5.742,5.74,5.61
20013,2302,769,66,39,9999,0,1500,0,3828,6090,4,4,2419,525,2000,0,0,43,72,42,0,10,33,0,3,1440,1584,10680,842,0,91,23,29,23,25,91,85,85,21,29,0,0,12800,883,0,660,92,753,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.828,1.5,5.742,5.74,5.61
20993,2302,769,66,39,9999,0,1496,0,3860,5774,4,4,1478,525,2000,0,0,42,72,48,0,42,30,0,3,1440,1584,792,836,0,100,14,36,23,31,90,100,90,16,19,0,0,12800,883,0,660,92,753,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.86,1.496,5.77456,5.77,5.65
21994,2302,769,66,39,9999,0,1500,0,3860,5979,4,4,1478,525,2000,0,0,70,72,47,0,98,4,0,3,1440,1584,2135,744,0,95,29,29,36,23,94,95,95,28,23,0,0,12800,883,0,660,92,753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.86,1.5,5.79,5.79,5.66
