Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round,EC
968,1710,900,74,35,9999,0,1003,0,3929,3940,4,3,1171,441,2000,0,0,1,72,0,0,0,72,0,0,0,0,65535,670,0,63,11,22,21,25,63,28,33,10,8,0,0,12673,974,0,794,96,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.929,1.003,3.9407869999999994,3.94,3.98
1969,1710,900,74,35,9999,0,948,0,3929,3724,4,3,1478,490,1017,0,0,68,72,31,0,0,7,0,0,2016,2224,1682,1223,0,30,35,31,23,47,19,30,19,14,22,0,0,12673,974,0,794,96,890,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,3.929,0.948,3.7246919999999997,3.72,3.76
2968,1710,900,74,35,9999,0,1048,0,3929,4117,4,3,1478,490,1017,0,0,68,72,33,0,0,7,0,0,2016,2224,1682,1223,0,30,35,31,23,47,19,30,19,14,22,0,0,12673,974,0,794,96,890,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,140,3.929,1.048,4.117592,4.12,4.16
3969,1710,900,74,35,9999,0,1210,0,3929,4754,4,3,1478,490,1017,0,0,68,72,31,0,0,7,0,0,2016,2224,1682,1223,0,30,35,31,23,47,19,30,19,14,22,0,0,12673,974,0,794,96,890,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,140,3.929,1.21,4.75409,4.75,4.8
4970,1710,900,74,35,9999,0,1484,0,3929,5830,4,3,1478,490,1017,0,0,68,72,32,0,0,7,0,0,2016,2224,1682,1223,0,30,35,31,23,47,19,30,19,14,22,0,0,12673,974,0,794,96,890,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,140,3.929,1.484,5.830635999999999,5.83,5.89
5972,1710,900,74,35,9999,0,1500,0,3929,6349,4,3,1862,490,2000,0,0,57,72,29,1,11,69,0,2,2016,2224,4139,1252,0,94,100,95,95,95,94,94,90,84,17,0,0,12673,974,0,794,96,890,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,140,3.929,1.5,5.8934999999999995,5.89,5.95
6976,1710,900,74,35,9999,0,1196,0,3892,4654,4,3,1862,490,2000,0,0,59,72,51,0,116,4,0,2,1440,1584,2565,890,0,31,31,18,30,30,15,28,31,26,27,0,0,12673,974,0,794,96,890,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.892,1.196,4.654832,4.65,4.7
7976,1710,900,74,35,9999,0,1257,0,3892,4892,4,3,1862,490,2000,0,0,62,72,54,0,120,11,0,2,1440,1584,2730,891,0,39,38,45,38,38,31,34,39,29,28,0,0,12673,974,0,794,96,890,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.892,1.257,4.892244,4.89,4.94
8976,1710,900,74,35,9999,0,1354,0,3892,5269,4,3,1478,490,2000,0,0,71,72,46,0,57,1,0,2,1440,1584,2965,870,0,40,39,38,27,38,30,15,40,26,30,0,0,12673,974,0,794,96,890,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.892,1.354,5.269768,5.27,5.32
9976,1710,900,74,35,9999,0,1307,0,3892,5086,4,3,1478,490,2000,0,0,72,72,34,0,0,0,0,2,1440,1584,3205,880,0,31,36,35,43,36,31,19,26,27,29,0,0,12673,974,0,794,96,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.892,1.307,5.086843999999999,5.09,5.14
10976,1710,900,74,35,9999,0,1340,0,3892,5215,4,3,1478,490,2000,0,0,72,72,36,0,2,2,0,2,1440,1584,3563,1314,0,30,40,38,33,31,21,23,30,28,35,0,0,12673,974,0,794,96,890,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.892,1.34,5.21528,5.22,5.27
11977,1710,900,74,35,9999,0,1267,0,3892,4931,4,3,1478,490,2000,0,0,72,72,35,0,0,0,0,2,1440,1584,3036,1353,0,36,47,47,42,36,27,34,36,41,33,0,0,12673,974,0,794,96,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.892,1.267,4.931164,4.93,4.98
12976,1710,900,74,35,9999,0,1322,0,3892,5145,4,3,1478,490,2000,0,0,72,72,32,0,0,0,0,2,1440,1584,2919,1368,0,34,42,47,40,40,34,28,26,33,32,0,0,12673,974,0,794,96,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.892,1.322,5.145224,5.15,5.19
13977,1710,900,74,35,9999,0,1228,0,3892,4779,4,3,1478,490,2000,0,0,72,72,32,0,0,0,0,2,1440,1584,2975,1354,0,39,42,40,45,38,11,19,39,31,33,0,0,12673,974,0,794,96,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.892,1.228,4.779376,4.78,4.82
14977,1710,900,74,35,9999,0,1311,0,3892,5102,4,3,1478,490,2000,0,0,72,72,31,0,0,0,0,2,1440,1584,3075,1349,0,38,50,41,40,43,25,21,38,31,34,0,0,12673,974,0,794,96,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.892,1.311,5.102411999999999,5.1,5.15
15976,1710,900,74,35,9999,0,1246,0,3892,4849,4,3,1478,490,2000,0,0,72,72,31,0,0,0,0,2,1440,1584,3033,1343,0,31,42,43,38,39,19,30,31,37,34,0,0,12673,974,0,794,96,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.892,1.246,4.849432,4.85,4.9
16977,1710,900,74,35,9999,0,1291,0,3917,5056,3,3,1766,490,2000,0,0,72,72,29,0,0,0,0,2,1440,1584,3012,1345,0,28,52,50,44,75,19,23,28,41,34,0,0,12673,974,0,794,96,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.917,1.291,5.056846999999999,5.06,5.11
17977,1710,900,74,35,9999,0,1303,0,3917,5103,4,3,1382,490,2000,0,0,72,72,30,0,0,1,0,2,1440,1584,3055,1356,0,35,47,54,50,45,35,19,30,30,33,0,0,12673,974,0,794,96,890,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.917,1.303,5.103851,5.1,5.15
18977,1710,900,74,35,9999,0,1250,0,3917,4896,4,3,1478,490,2000,0,0,71,72,31,0,0,2,0,2,1440,1584,2973,1378,0,35,50,52,56,44,35,15,25,37,33,0,0,12673,974,0,794,96,890,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.917,1.25,4.89625,4.9,4.94
20021,1236,1401,74,35,9999,0,1368,0,3917,5358,4,3,1478,490,2000,0,0,72,72,31,0,0,0,0,2,1440,1584,3155,1359,0,39,38,39,50,38,25,5,39,34,35,0,0,14523,1489,0,1246,135,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.917,1.368,5.358456,5.36,5.41
20978,1236,1401,74,35,9999,0,1252,0,3917,4904,4,3,1478,490,2000,0,0,72,72,31,0,0,0,0,2,1440,1584,3042,1370,0,39,45,56,36,43,33,37,39,39,34,0,0,14523,1489,0,1246,135,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.917,1.252,4.904084,4.9,4.95
21978,1236,1401,74,35,9999,0,1342,0,3917,5256,4,3,1478,490,2000,0,0,72,72,30,0,0,0,0,2,1440,1584,3032,1386,0,27,42,39,40,39,21,27,27,31,34,0,0,14523,1489,0,1246,135,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.917,1.342,5.256614,5.26,5.31
22978,1236,1401,74,35,9999,0,1275,0,3917,4994,4,3,1478,490,2000,0,0,72,72,28,0,0,0,0,2,1440,1584,3257,1405,0,31,47,45,54,42,31,11,30,30,36,0,0,14523,1489,0,1246,135,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.917,1.275,4.994174999999999,4.99,5.04
23978,1236,1401,74,35,9999,0,1333,0,3917,5221,4,3,1478,490,2000,0,0,72,72,29,0,0,0,0,2,1440,1584,2907,1396,0,33,45,50,39,36,33,16,26,33,33,0,0,14523,1489,0,1246,135,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.917,1.333,5.221361,5.22,5.27
