Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,power_voltage_in_volts,power_current_in_amps,Total_power,TP_round,EC
949,2264,400,0,0,0,0,1093,0,3999,4370,4,3,710,490,1353,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,18,41,38,52,50,18,14,14,19,22,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999,1.093,4.370907,4.37,4.39
1950,2264,400,79,32,9999,0,1357,0,3999,5426,2,2,710,441,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,52,47,54,55,47,52,33,48,31,20,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999,1.357,5.426643,5.43,5.44
2950,2264,400,79,32,9999,0,977,0,3993,3901,4,3,1958,490,2000,0,0,1,72,0,0,0,72,0,0,0,0,0,1484,290,56,64,52,58,66,29,43,56,41,23,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,3.993,0.977,3.9011609999999997,3.9,3.91
3950,2264,400,79,31,9999,0,981,0,3993,3917,4,3,710,490,1353,0,0,67,72,35,2,2,32,0,0,1440,1584,936,1225,288,36,42,38,38,54,28,17,36,30,21,0,0,12118,484,0,308,75,383,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,288,100,3.993,0.981,3.9171329999999998,3.92,3.93
4951,2264,400,79,31,9999,0,956,0,3993,3817,4,3,710,490,1804,0,0,72,72,36,0,0,0,0,0,1440,1584,1177,1233,287,38,39,38,39,39,38,27,31,30,21,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,287,100,3.993,0.956,3.8173079999999997,3.82,3.83
5950,2264,400,79,31,9999,0,931,0,3993,3717,4,3,710,490,1804,0,0,72,72,31,0,0,0,0,0,1440,1584,1153,1235,296,27,39,41,50,38,22,27,26,19,21,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,296,100,3.993,0.931,3.717483,3.72,3.73
6950,2264,400,79,31,9999,0,986,0,3993,3937,4,3,710,490,1804,0,0,72,72,30,0,0,0,0,0,1440,1584,1144,1232,287,38,50,44,47,60,36,38,23,15,21,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,287,100,3.993,0.986,3.9370979999999998,3.94,3.95
7950,2264,400,79,31,9999,0,958,0,3993,3825,4,3,710,490,1804,0,0,72,72,29,0,0,0,0,0,1440,1584,1120,1231,284,33,40,36,42,40,22,30,33,14,21,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,100,3.993,0.958,3.8252939999999995,3.83,3.84
8951,2264,400,79,31,9999,0,1064,0,3993,4248,4,3,710,490,1804,0,0,72,72,28,0,0,0,0,0,1440,1584,1156,1243,291,33,35,35,34,35,30,33,21,19,21,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,100,3.993,1.064,4.248552,4.25,4.26
9950,2264,400,79,31,9999,0,1344,0,3993,5366,4,3,710,490,1804,0,0,72,72,28,0,0,0,0,0,1440,1584,1144,1236,281,39,46,38,43,33,27,28,39,22,21,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,100,3.993,1.344,5.366592,5.37,5.38
10950,2264,400,79,31,9999,0,1349,0,3993,5386,4,3,1478,490,2000,0,0,72,72,28,0,0,0,0,0,1440,1584,1144,1234,293,58,45,47,45,48,42,11,58,33,12,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,100,3.993,1.349,5.386557,5.39,5.4
11950,2264,400,79,31,9999,0,1265,0,3993,5051,4,3,2419,490,2000,0,0,43,72,28,0,0,72,0,0,1440,1584,2642,1237,282,60,45,42,45,38,60,14,28,19,17,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,100,3.993,1.265,5.051144999999999,5.05,5.07
12950,2264,400,79,31,9999,0,1221,0,3997,4880,4,4,2419,525,2000,0,0,27,72,59,1,41,51,0,0,1440,1584,3334,1178,277,100,39,44,40,36,100,90,76,5,48,0,0,12118,484,0,308,75,383,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,100,3.997,1.221,4.880337,4.88,4.9
13950,2264,400,79,31,9999,0,1266,0,3997,5060,4,3,1478,490,1804,0,0,59,72,54,0,55,15,0,0,1440,1584,5932,1224,287,31,35,47,43,45,19,27,31,25,48,0,0,12118,484,0,308,75,383,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,100,3.997,1.266,5.060202,5.06,5.08
14952,2264,400,79,31,9999,0,1303,0,3997,5208,4,3,1478,490,1804,0,0,52,72,54,0,54,21,0,0,1440,1584,5671,1230,290,27,27,41,30,39,14,26,27,22,54,0,0,12118,484,0,308,75,383,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,100,3.997,1.303,5.208091,5.21,5.23
15951,2264,400,79,31,9999,0,1292,0,3997,5164,4,3,1478,490,1804,0,0,71,72,48,0,46,0,0,0,1440,1584,7158,1349,295,33,33,42,39,33,33,25,30,11,65,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,100,3.997,1.292,5.164124,5.16,5.18
16951,2264,400,79,31,9999,0,1361,0,3997,5439,4,3,1478,490,2000,0,0,72,72,38,0,0,0,0,0,1440,1584,7003,1318,281,31,38,41,39,36,22,31,16,15,64,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,100,3.997,1.361,5.4399169999999994,5.44,5.46
17951,2264,400,79,31,9999,0,1364,0,3997,5451,4,3,1478,490,2000,0,0,73,72,39,0,0,0,0,0,1440,1584,7521,1366,277,33,35,39,31,36,31,21,33,5,66,0,0,12118,484,0,308,75,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,100,3.997,1.364,5.451908,5.45,5.47
18951,2264,400,79,31,9999,0,1339,0,3997,5351,4,3,1478,490,2000,0,0,71,72,38,0,5,2,0,0,1440,1584,7556,1349,297,43,35,39,38,31,19,28,43,30,68,0,0,12118,484,0,308,75,383,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,100,3.997,1.339,5.351983,5.35,5.37
19981,883,1435,79,31,9999,0,1500,0,3997,6794,4,3,1478,490,2000,0,0,72,72,39,0,0,0,0,0,1440,1584,7662,1353,285,30,45,45,31,36,30,30,30,19,69,0,0,13404,1526,0,1325,90,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,100,3.997,1.5,5.9955,6.0,6.02
20951,883,1435,79,31,9999,0,1259,0,3997,5032,4,3,1478,490,2000,0,0,72,72,38,0,0,0,0,0,1440,1584,7949,1370,307,38,40,39,40,38,30,25,38,11,70,0,0,13404,1526,0,1325,90,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,100,3.997,1.259,5.032222999999999,5.03,5.05
21951,883,1435,79,31,9999,0,1104,0,4004,4420,4,3,1478,490,2000,0,0,63,72,38,0,1,6,0,0,1440,1584,737,1237,270,81,54,58,42,50,61,52,81,42,20,0,0,13404,1526,0,1325,90,1415,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,100,4.004,1.104,4.4204159999999995,4.42,4.44
22952,883,1435,79,31,9999,0,1160,0,4004,4644,4,3,1478,490,2000,0,0,71,72,31,0,6,5,0,0,1440,1584,899,1244,283,77,38,45,42,33,23,23,77,15,20,0,0,13404,1526,0,1325,90,1415,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,100,4.004,1.16,4.644639999999999,4.64,4.66
23951,883,1435,79,31,9999,0,1070,0,4004,4284,4,3,1478,490,2000,0,0,72,72,30,0,0,0,0,0,1440,1584,988,1229,285,77,38,47,39,38,47,31,77,38,20,0,0,13404,1526,0,1325,90,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,100,4.004,1.07,4.28428,4.28,4.3
